IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
172.31.69.25,22,13.58.98.64,40290,6,0.0,3765,0,21,0,27,0,0,Benign
172.31.68.25,50435,74.125.28.147,443,6,91.126,126,126,2,2,24,4294799,0,Benign
213.202.230.232,20699,172.31.67.98,3389,6,0.0,2009,2103,14,9,219,4291072,0,Benign
172.31.64.52,50194,138.108.6.20,443,6,0.0,1261,5862,11,11,27,4289413,0,Benign
172.31.64.45,60241,172.31.0.2,53,17,0.0,82,98,1,1,0,4294966,0,Benign
172.31.65.8,50555,216.58.198.72,443,6,91.126,126,86,2,1,24,4294811,0,Benign
18.221.219.4,37062,172.31.69.25,21,6,0.0,60,0,1,0,2,0,1,FTP-BruteForce
80.68.1.225,53287,172.31.67.31,3389,6,0.0,1520,1913,9,8,30,4290143,0,Benign
18.219.211.138,40552,172.31.69.25,80,6,0.0,52,0,1,0,20,0,1,DoS attacks-GoldenEye
172.31.68.9,54797,172.31.0.2,53,17,0.0,62,78,1,1,0,4294966,0,Benign
181.214.87.12,59598,172.31.67.6,8876,6,0.0,40,0,1,0,2,0,0,Benign
172.31.64.44,51464,172.31.0.2,53,17,5.119,73,101,1,1,0,4294966,0,Benign
172.31.66.48,49697,72.21.91.29,80,6,7.0,285,300,7,6,17,4250034,0,Benign
172.31.67.10,3389,213.202.230.219,15688,6,88.0,40,0,1,0,20,0,0,Benign
13.58.98.64,60004,172.31.69.25,22,6,0.0,3132,0,23,0,27,0,1,SSH-Bruteforce
172.31.68.19,51490,40.113.90.255,443,6,0.0,1716,4860,21,19,219,4178811,0,Benign
172.31.64.7,57703,172.31.0.2,53,17,5.12,59,119,1,1,0,4294966,0,Benign
213.202.230.144,55684,172.31.66.19,3389,6,0.0,1914,1951,14,9,219,4290941,0,Benign
172.31.69.17,57099,172.31.0.2,53,17,0.0,122,154,2,2,0,4294927,1,Infilteration
172.31.64.46,59453,172.31.0.2,53,17,0.0,83,195,1,1,0,4294949,0,Benign
172.31.68.13,54798,172.31.0.2,53,17,0.0,70,86,1,1,0,4294967,0,Benign
201.229.10.109,54490,172.31.65.108,3389,6,0.0,1480,1873,8,7,222,4293361,0,Benign
172.31.65.36,56163,172.31.0.2,53,17,0.0,128,196,2,2,0,4294930,0,Benign
5.101.40.43,62557,172.31.67.104,3389,6,0.0,1364,1721,8,7,222,4293235,0,Benign
172.31.65.10,62408,172.31.0.2,53,17,0.0,70,86,1,1,0,4294966,0,Benign
172.31.66.35,51586,172.217.15.68,443,6,91.126,126,86,2,1,24,4294889,0,Benign
180.100.217.115,54797,172.31.66.40,3389,6,0.0,1480,1913,8,8,30,4281592,0,Benign
185.129.148.224,48370,172.31.67.4,3389,6,0.0,2020,2139,14,10,219,4290671,0,Benign
172.31.64.11,51411,151.101.202.2,443,6,0.0,1204,8371,10,11,218,4294772,0,Benign
172.31.69.25,80,18.219.193.20,48406,6,0.0,10827,0,45,0,27,0,0,Benign
172.31.67.31,63434,172.31.0.2,53,17,0.0,64,80,1,1,0,4294966,0,Benign
172.31.64.100,56432,172.31.0.2,53,17,0.0,69,154,1,1,0,4294954,0,Benign
213.202.230.144,59446,172.31.67.89,3389,6,0.0,1973,2143,13,10,219,4290853,0,Benign
213.202.230.144,25403,172.31.64.124,3389,6,88.0,104,192,2,4,214,4273946,0,Benign
141.212.122.96,48714,172.31.65.20,443,6,91.0,40,0,1,0,2,0,0,Benign
172.31.66.115,60717,172.31.0.2,53,17,5.211,71,87,1,1,0,4294966,0,Benign
172.31.67.92,55030,172.31.0.2,53,17,0.0,70,130,1,1,0,4294966,0,Benign
172.31.69.25,21,18.221.219.4,45038,6,0.0,40,0,1,0,20,0,0,Benign
193.111.198.62,37930,172.31.68.18,3389,6,0.0,1949,724,14,8,219,4291009,0,Benign
213.202.230.37,3865,172.31.65.56,3389,6,0.0,1087,633,10,8,219,4292783,0,Benign
212.92.120.238,38400,172.31.65.37,3389,6,0.0,1634,2024,9,9,222,4291642,0,Benign
202.181.205.234,55037,172.31.66.57,3389,6,0.0,1560,1913,10,8,222,4281048,0,Benign
172.31.66.95,51938,172.31.0.2,53,17,5.233,65,120,1,1,0,4294949,0,Benign
172.31.69.25,80,18.219.32.43,55640,6,0.0,1136,0,4,0,27,0,0,Benign
111.252.115.133,57258,172.31.64.11,23,6,77.0,40,0,1,0,2,0,0,Benign
172.31.64.21,59442,172.31.0.2,53,17,0.0,140,254,2,2,0,4294942,0,Benign
18.216.200.189,58574,172.31.69.25,80,6,0.0,192,0,4,0,218,0,1,DDoS attacks-LOIC-HTTP
172.31.69.25,80,18.218.115.60,57694,6,0.0,1136,0,4,0,27,0,0,Benign
172.31.64.54,52664,104.86.80.239,80,6,7.0,1101,1526,11,10,30,4236170,0,Benign
172.31.69.9,52425,216.58.217.78,443,6,91.126,126,86,2,1,24,4294904,0,Benign
18.218.229.235,59057,172.31.69.25,80,6,0.0,232,0,5,0,222,0,1,DDoS attacks-LOIC-HTTP
172.31.69.25,21,18.221.219.4,58198,6,0.0,40,0,1,0,20,0,0,Benign
172.31.66.37,50819,209.85.202.100,443,6,91.126,126,126,2,2,24,4294811,0,Benign
172.31.66.69,50651,54.171.60.23,443,6,91.178,126,86,2,1,24,4294842,0,Benign
5.188.9.25,50099,172.31.67.104,52764,6,0.0,40,0,1,0,2,0,0,Benign
13.58.98.64,38602,172.31.69.25,22,6,0.0,3148,0,23,0,27,0,1,SSH-Bruteforce
172.31.65.51,58845,172.31.0.2,53,17,0.0,65,93,1,1,0,4294966,0,Benign
172.31.67.124,49626,151.101.34.202,443,6,0.0,126,86,2,1,24,4294905,0,Benign
18.219.5.43,52527,172.31.69.25,80,6,0.0,232,0,5,0,222,0,1,DDoS attacks-LOIC-HTTP
187.101.180.87,41419,172.31.69.25,23,6,0.0,40,0,1,0,2,0,0,Benign
172.31.66.19,50164,209.85.203.97,443,6,91.126,126,126,2,2,24,4294821,0,Benign
